datetime_beginning_ept,total_lmp_da
2024-06-07T10:00:00,18.13278
2024-06-07T11:00:00,19.926003
2024-06-07T12:00:00,18.173824
2024-06-07T13:00:00,23.214189
2024-06-07T14:00:00,22.028296
2024-06-07T15:00:00,22.937107
2024-06-07T16:00:00,27.642884
2024-06-07T17:00:00,26.851175
2024-06-07T18:00:00,29.307755
2024-06-07T19:00:00,30.422004
2024-06-07T20:00:00,29.543663
2024-06-07T21:00:00,28.66511
2024-06-07T22:00:00,27.503822
2024-06-07T23:00:00,20.698421
2024-06-08T00:00:00,15.838229
2024-06-08T01:00:00,13.799286
2024-06-08T02:00:00,11.847815
2024-06-08T03:00:00,10.794845
2024-06-08T04:00:00,10.244258
2024-06-08T05:00:00,10.48948
2024-06-08T06:00:00,9.02236
2024-06-08T07:00:00,8.602948
2024-06-08T08:00:00,10.940278
2024-06-08T09:00:00,13.202597
2024-06-08T10:00:00,13.714059
2024-06-08T11:00:00,15.064879
2024-06-08T12:00:00,16.513618
2024-06-08T13:00:00,18.373286
2024-06-08T14:00:00,20.49775
2024-06-08T15:00:00,23.257462
2024-06-08T16:00:00,23.293945
2024-06-08T17:00:00,23.521121
2024-06-08T18:00:00,26.024954
2024-06-08T19:00:00,26.450766
2024-06-08T20:00:00,22.340769
2024-06-08T21:00:00,22.323908
2024-06-08T22:00:00,20.21275
2024-06-08T23:00:00,13.134385
2024-06-09T00:00:00,12.775218
2024-06-09T01:00:00,12.24631
2024-06-09T02:00:00,11.636566
2024-06-09T03:00:00,10.018635
2024-06-09T04:00:00,9.658367
2024-06-09T05:00:00,9.327471
2024-06-09T06:00:00,8.744824
2024-06-09T07:00:00,9.939098
2024-06-09T08:00:00,11.437805
2024-06-09T09:00:00,14.085321
2024-06-09T10:00:00,14.587593
2024-06-09T11:00:00,15.026902
2024-06-09T12:00:00,13.14777
2024-06-09T13:00:00,13.639972
2024-06-09T14:00:00,13.94864
2024-06-09T15:00:00,13.754503
2024-06-09T16:00:00,15.052375
2024-06-09T17:00:00,16.232707
2024-06-09T18:00:00,9.612552
2024-06-09T19:00:00,9.835231
2024-06-09T20:00:00,13.491964
2024-06-09T21:00:00,17.709229
2024-06-09T22:00:00,15.011343
2024-06-09T23:00:00,13.398129
2024-06-10T00:00:00,11.337232
2024-06-10T01:00:00,9.659744
2024-06-10T02:00:00,9.106619
2024-06-10T03:00:00,8.516259
2024-06-10T04:00:00,9.440756
2024-06-10T05:00:00,12.097403
2024-06-10T06:00:00,15.105443
2024-06-10T07:00:00,17.737132
2024-06-10T08:00:00,16.599095
2024-06-10T09:00:00,17.084793
2024-06-10T10:00:00,18.319045
2024-06-10T11:00:00,19.334773
2024-06-10T12:00:00,20.759117
2024-06-10T13:00:00,22.005649
2024-06-10T14:00:00,21.965487
2024-06-10T15:00:00,22.758055
2024-06-10T16:00:00,23.373832
2024-06-10T17:00:00,24.16551
2024-06-10T18:00:00,22.475748
2024-06-10T19:00:00,25.263741
2024-06-10T20:00:00,23.654672
2024-06-10T21:00:00,24.199448
2024-06-10T22:00:00,19.870536
2024-06-10T23:00:00,13.842162
2024-06-11T00:00:00,12.591108
2024-06-11T01:00:00,11.289022
2024-06-11T02:00:00,8.288474
2024-06-11T03:00:00,7.467892
2024-06-11T04:00:00,7.655244
2024-06-11T05:00:00,11.685182
2024-06-11T06:00:00,11.71435
2024-06-11T07:00:00,12.571806
2024-06-11T08:00:00,13.328651
2024-06-11T09:00:00,14.421565
2024-06-11T10:00:00,15.47013
2024-06-11T11:00:00,16.813319
2024-06-11T12:00:00,18.399699
2024-06-11T13:00:00,19.503338
2024-06-11T14:00:00,20.91682
2024-06-11T15:00:00,23.01669
2024-06-11T16:00:00,24.854272
2024-06-11T17:00:00,27.23054
2024-06-11T18:00:00,27.73653
2024-06-11T19:00:00,27.210256
2024-06-11T20:00:00,24.468166
2024-06-11T21:00:00,23.787706
2024-06-11T22:00:00,20.214273
2024-06-11T23:00:00,13.093635
2024-06-12T00:00:00,9.539757
2024-06-12T01:00:00,7.392514
2024-06-12T02:00:00,6.408743
2024-06-12T03:00:00,5.72974
2024-06-12T04:00:00,4.579952
2024-06-12T05:00:00,4.997383
2024-06-12T06:00:00,7.526957
2024-06-12T07:00:00,12.106411
2024-06-12T08:00:00,14.805057
2024-06-12T09:00:00,16.220957
2024-06-12T10:00:00,18.292443
2024-06-12T11:00:00,22.974543
2024-06-12T12:00:00,24.998593
2024-06-12T13:00:00,27.035984
2024-06-12T14:00:00,27.072079
2024-06-12T15:00:00,30.721731
2024-06-12T16:00:00,35.855976
2024-06-12T17:00:00,43.016969
2024-06-12T18:00:00,43.924652
2024-06-12T19:00:00,40.049248
2024-06-12T20:00:00,33.541651
2024-06-12T21:00:00,27.880552
2024-06-12T22:00:00,20.79418
2024-06-12T23:00:00,13.557235
2024-06-13T00:00:00,12.517943
2024-06-13T01:00:00,11.446258
2024-06-13T02:00:00,11.139448
2024-06-13T03:00:00,10.306981
2024-06-13T04:00:00,9.362881
2024-06-13T05:00:00,9.148751
2024-06-13T06:00:00,11.282254
2024-06-13T07:00:00,13.13471
2024-06-13T08:00:00,18.116863
2024-06-13T09:00:00,20.926018
2024-06-13T10:00:00,24.097546
2024-06-13T11:00:00,27.127854
